Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
received Time: 2661.6999999986747	 sent Time 1140.5000000000582
received Time: 2661.7999999986746	 sent Time 1140.5000000000582
received Time: 2661.399999998675	 sent Time 1140.5000000000582
received Time: 2348.3999999989596	 sent Time 1140.5000000000582
received Time: 3468.599999997941	 sent Time 1140.5000000000582
received Time: 1876.7999999993885	 sent Time 1140.5000000000582
received Time: 4388.199999998433	 sent Time 1140.5000000000582
received Time: 2402.89999999891	 sent Time 1140.5000000000582
received Time: 2349.5999999989585	 sent Time 1140.5000000000582
received Time: 2661.9999999986744	 sent Time 1140.5000000000582
received Time: 1876.8999999993885	 sent Time 1140.5000000000582
received Time: 2349.6999999989584	 sent Time 1140.5000000000582
received Time: 2744.2999999985996	 sent Time 1140.5000000000582
received Time: 4542.5999999989945	 sent Time 1140.5000000000582
received Time: 3647.0999999977785	 sent Time 1140.5000000000582
received Time: 2347.6999999989603	 sent Time 1140.5000000000582
received Time: 2726.199999998616	 sent Time 1140.5000000000582
received Time: 2348.999999998959	 sent Time 1140.5000000000582
received Time: 2349.199999998959	 sent Time 1140.5000000000582
received Time: 4389.199999998436	 sent Time 1140.5000000000582
received Time: 4670.399999999459	 sent Time 1140.5000000000582
received Time: 3469.39999999794	 sent Time 1140.5000000000582
received Time: 2659.199999998677	 sent Time 1140.5000000000582
received Time: 3647.799999997778	 sent Time 1140.5000000000582
received Time: 2346.999999998961	 sent Time 1140.5000000000582
received Time: 2348.4999999989595	 sent Time 1140.5000000000582
received Time: 3470.0999999979394	 sent Time 1140.5000000000582
received Time: 2346.899999998961	 sent Time 1140.5000000000582
received Time: 2658.6999999986774	 sent Time 1140.5000000000582
received Time: 1975.5999999992987	 sent Time 1140.5000000000582
received Time: 2402.4999999989104	 sent Time 1140.5000000000582
received Time: 1261.4999999999482	 sent Time 1140.5000000000582
received Time: 2348.09999999896	 sent Time 1140.5000000000582
received Time: 1873.6999999993914	 sent Time 1140.5000000000582
received Time: 1261.3999999999482	 sent Time 1140.5000000000582
received Time: 2571.6999999987565	 sent Time 1140.5000000000582
received Time: 2347.2999999989606	 sent Time 1140.5000000000582
received Time: 2570.3999999987577	 sent Time 1140.5000000000582
received Time: 3897.5999999975506	 sent Time 2402.5999999989103
received Time: 4389.399999998437	 sent Time 2402.5999999989103
received Time: 4344.499999998274	 sent Time 2402.5999999989103
received Time: 4343.299999998269	 sent Time 2402.5999999989103
received Time: 3222.199999998165	 sent Time 2402.5999999989103
received Time: 5058.20000000087	 sent Time 2402.5999999989103
received Time: 4388.999999998436	 sent Time 2402.5999999989103
received Time: 4344.199999998273	 sent Time 2402.5999999989103
received Time: 3646.399999997779	 sent Time 2402.5999999989103
received Time: 3647.399999997778	 sent Time 2402.5999999989103
received Time: 3646.499999997779	 sent Time 2402.5999999989103
received Time: 5058.700000000872	 sent Time 2402.5999999989103
received Time: 2427.5999999988876	 sent Time 2402.5999999989103
received Time: 5059.800000000876	 sent Time 2402.5999999989103
received Time: 3897.8999999975504	 sent Time 2402.5999999989103
received Time: 5091.700000000992	 sent Time 2402.5999999989103
received Time: 3469.69999999794	 sent Time 2402.5999999989103
received Time: 2795.0999999985534	 sent Time 2402.5999999989103
received Time: 3469.59999999794	 sent Time 2402.5999999989103
received Time: 4342.899999998268	 sent Time 2402.5999999989103
received Time: 2988.1999999983777	 sent Time 2402.5999999989103
